Cycle,SNR (dB),Hysteresis_Energy (MJ/m³),Loss_Coefficient,Elastic(Youngs)_Modulus (MPa),Stress_Range (MPa),Strain_Range (%)
1,inf,12.210483545250014,0.2000470375942955,1044.5916114790286,19.4766,99.5591
2,14.862707606590725,3.0327613322499967,0.08661193957629867,337.11414213924616,11.1852,32.4435
3,14.02186126146798,2.372641871899999,0.07814302659817848,327.67295597487737,9.6902,28.442400000000006
4,13.60726652570477,2.105902325050004,0.07564096553040096,300.8365508365615,8.8955,26.611499999999992
5,13.241820854214836,1.8933218513999996,0.07229307367179899,296.46017699113474,8.3656,25.610100000000003
