Cycle,SNR (dB),Hysteresis_Energy,Elastic(Youngs)_Modulus (MPa),Stress_Range (MPa),Strain_Range (%)
1,inf,663.9601387400002,15.859962339201678,7.8377,99.58670000000001
2,12.869484111081125,243.36649387499995,12.621969936188659,6.2638,49.275400000000005
3,12.265304043536087,198.79914527499983,9.552495850163957,5.6517,44.94250000000002
4,11.947753028092592,173.387859965,9.559222158741019,5.1772,42.606700000000004
5,11.739072912465245,155.77700583000018,8.642020186720895,4.8484,41.275300000000016
